champion,position,0,rank
Rakan,UTILITY,,platinum
Zilean,UTILITY,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
KSante,TOP,,platinum
Renekton,TOP,,platinum
,,,platinum
,,,platinum
Fiora,TOP,,platinum
Jax,TOP,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
Bard,UTILITY,,platinum
Bard,UTILITY,,platinum
Bard,UTILITY,,platinum
Bard,UTILITY,,platinum
Bard,UTILITY,,platinum
,,,platinum
Bard,UTILITY,,platinum
Bard,UTILITY,,platinum
Bard,UTILITY,,platinum
Bard,UTILITY,,platinum
,,,platinum
Varus,BOTTOM,,platinum
DrMundo,TOP,,platinum
Garen,TOP,,platinum
DrMundo,TOP,,platinum
Renekton,TOP,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
Trundle,JUNGLE,,platinum
Khazix,JUNGLE,,platinum
Graves,JUNGLE,,platinum
Blitzcrank,UTILITY,,platinum
Lux,UTILITY,,platinum
Lux,UTILITY,,platinum
Anivia,UTILITY,,platinum
Graves,JUNGLE,,platinum
Kennen,MIDDLE,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
Udyr,JUNGLE,,platinum
Udyr,JUNGLE,,platinum
Udyr,JUNGLE,,platinum
,,,platinum
,,,platinum
Udyr,JUNGLE,,platinum
Udyr,JUNGLE,,platinum
Udyr,JUNGLE,,platinum
Udyr,JUNGLE,,platinum
Udyr,JUNGLE,,platinum
,,,platinum
Kindred,JUNGLE,,platinum
Kindred,JUNGLE,,platinum
Viego,JUNGLE,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
Kindred,JUNGLE,,platinum
TahmKench,TOP,,platinum
TahmKench,TOP,,platinum
TahmKench,TOP,,platinum
TahmKench,TOP,,platinum
TahmKench,TOP,,platinum
TahmKench,TOP,,platinum
TahmKench,TOP,,platinum
TahmKench,TOP,,platinum
TahmKench,TOP,,platinum
Thresh,UTILITY,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
Yasuo,MIDDLE,,platinum
Yasuo,MIDDLE,,platinum
Ahri,MIDDLE,,platinum
Jax,TOP,,platinum
Yone,MIDDLE,,platinum
Jhin,BOTTOM,,platinum
Vayne,BOTTOM,,platinum
Vayne,BOTTOM,,platinum
Xayah,BOTTOM,,platinum
Vayne,BOTTOM,,platinum
Thresh,UTILITY,,platinum
Ashe,BOTTOM,,platinum
Vayne,BOTTOM,,platinum
Ziggs,BOTTOM,,platinum
,,,platinum
Zyra,UTILITY,,platinum
Bard,UTILITY,,platinum
Bard,UTILITY,,platinum
LeeSin,JUNGLE,,platinum
Senna,UTILITY,,platinum
Pyke,UTILITY,,platinum
Leona,UTILITY,,platinum
Nautilus,UTILITY,,platinum
Renata,UTILITY,,platinum
,,,platinum
