"win","kills","deaths","dmgObj","dmgTurr","vision_score","totalDmg","totalDmgTaken","totalMinions","gold","position","time","rank"
"False",3,12,3038,987,88,38852,38386,47,10890,"utility",37.6666666666667,"iron"
"False",0,5,292,0,18,11847,13374,26,4139,"utility",19.9333333333333,"iron"
"True",1,7,4862,2666,41,72142,21577,47,8657,"utility",34.15,"iron"
"True",0,0,0,0,0,516,0,0,525,"utility",2.01666666666667,"iron"
"True",13,6,17709,7030,42,159043,46934,162,14972,"top",36.5333333333333,"iron"
"False",0,9,211,211,41,24393,23202,31,6391,"utility",30.7333333333333,"iron"
"False",7,5,7664,3087,25,177092,22671,161,13860,"bottom",34.7833333333333,"iron"
"True",2,11,8905,3899,28,162964,27954,156,10903,"middle",36.15,"iron"
"False",6,8,1332,1303,13,85304,20220,127,9670,"bottom",27.0666666666667,"iron"
"False",5,6,8843,390,17,113961,19295,131,10161,"bottom",29.9333333333333,"iron"
"True",6,2,16970,3845,22,111993,9232,106,9942,"bottom",25.7,"iron"
"False",0,5,785,785,36,21286,17051,33,5466,"utility",27.1666666666667,"iron"
"True",0,0,0,0,0,1261,4,5,622,"bottom",2.08333333333333,"iron"
"False",5,6,1319,0,14,102876,27309,38,8933,"jungle",26.6666666666667,"iron"
"True",8,3,6998,3558,15,94328,12289,117,11008,"bottom",26.0333333333333,"iron"
"False",12,12,5256,747,23,228140,38149,173,17202,"top",37.65,"iron"
"False",5,3,7250,2575,20,161696,19659,180,12395,"top",30.7333333333333,"iron"
"False",7,11,25288,2885,31,284003,54930,218,16308,"top",45.5666666666667,"iron"
"False",4,1,1785,1785,13,55512,9303,96,6556,"top",15.8,"iron"
"False",2,8,15219,2274,17,95866,17989,131,8727,"bottom",30.4833333333333,"iron"
"True",5,1,17657,4212,15,156196,16897,189,10931,"bottom",32.05,"iron"
"False",15,4,1657,331,46,90677,13808,42,13324,"utility",37.05,"iron"
"True",7,0,1673,1573,5,53930,6637,62,7116,"middle",21.2666666666667,"iron"
"True",6,2,6249,4260,10,88683,9860,119,8848,"bottom",22.8,"iron"
"True",4,6,2444,0,12,17411,13738,12,7184,"utility",28.8333333333333,"iron"
"False",0,6,735,735,0,33224,8963,43,3500,"middle",15.8833333333333,"iron"
"False",12,9,6203,578,23,95495,30173,75,12316,"middle",40.0666666666667,"iron"
"False",10,10,6318,1553,18,246011,32328,208,15397,"middle",37.5166666666667,"iron"
"True",1,2,5728,732,64,21545,14269,7,9629,"utility",34.6,"iron"
"True",0,0,1638,888,41,8661,3914,6,6348,"utility",23.1666666666667,"iron"
"True",0,2,4631,2315,52,22357,13191,9,8925,"utility",32.9333333333333,"iron"
"False",0,7,3598,160,44,54606,15150,47,7094,"utility",30.45,"iron"
"True",1,3,2856,2605,47,41261,11012,36,8991,"utility",31.1833333333333,"iron"
"True",0,1,3472,1784,23,33786,5117,24,5973,"utility",21.5,"iron"
"True",1,5,19238,1125,49,88211,13684,43,8367,"utility",34.8333333333333,"iron"
"False",1,4,109,0,20,15297,7506,10,4813,"utility",20.6666666666667,"iron"
"False",4,1,547,0,31,88675,12408,83,7984,"utility",29.6166666666667,"iron"
"False",2,8,16228,6230,15,295816,56000,142,14666,"jungle",39.6166666666667,"iron"
"False",6,7,24193,5417,4,210485,42745,35,12865,"jungle",30.15,"iron"
"False",3,3,9219,0,2,159649,24767,42,8984,"jungle",22.2,"iron"
"True",0,1,7685,0,9,103512,10544,0,5063,"jungle",15.5666666666667,"iron"
"False",0,2,6678,0,11,61826,11432,9,4277,"jungle",16.7,"iron"
"False",4,10,7948,0,10,122476,35760,10,9149,"jungle",26.4833333333333,"iron"
"True",9,4,21619,2049,21,212903,37735,28,14082,"jungle",30.95,"iron"
"False",1,4,8486,1600,20,140103,23655,22,8676,"jungle",26.1833333333333,"iron"
"True",7,2,21639,1135,15,118615,16662,16,8936,"jungle",22.8,"iron"
"True",4,4,40999,3417,20,199665,29327,26,10883,"jungle",30.35,"iron"
"True",7,6,24061,2772,10,156409,30281,26,11510,"jungle",27.9,"iron"
"False",8,8,20515,430,10,159322,33693,40,11279,"jungle",27.35,"iron"
"False",0,6,5612,0,8,76869,17216,2,4732,"jungle",18.5,"iron"
"True",11,8,34903,0,22,299099,44431,55,16764,"jungle",38.0666666666667,"iron"
"False",1,3,2428,1175,4,66913,13229,90,5666,"top",20.15,"iron"
"False",4,11,4171,2818,1,114484,48781,139,11498,"top",36.8166666666667,"iron"
"False",4,4,1108,1057,6,164667,15607,238,11805,"middle",25.9333333333333,"iron"
"True",2,8,31900,0,9,154059,24732,13,8803,"jungle",29.9,"iron"
"True",10,5,11098,3882,15,109121,16717,95,11126,"middle",27.3666666666667,"iron"
"False",1,3,1012,0,9,41512,10863,78,4382,"top",15.9,"iron"
"True",9,7,4765,4765,5,111483,25952,157,12125,"middle",29.9333333333333,"iron"
"False",5,7,1609,1609,4,78890,22428,135,8382,"middle",21.2666666666667,"iron"
"True",22,6,14312,4098,17,172410,35468,168,16582,"middle",31.2333333333333,"iron"
"False",8,9,464,464,7,118987,30759,197,10890,"middle",29.55,"iron"
