champion,position,rank
Karthus,jungle,silver
Karthus,jungle,silver
FiddleSticks,jungle,silver
Nasus,top,silver
Viktor,middle,silver
Pyke,utility,silver
Pyke,utility,silver
Pyke,utility,silver
Pyke,utility,silver
Pyke,utility,silver
Pyke,utility,silver
Pyke,utility,silver
Pyke,utility,silver
Pyke,utility,silver
Ornn,top,silver
Urgot,top,silver
Nasus,top,silver
Tryndamere,top,silver
Yorick,top,silver
Xerath,utility,silver
Sivir,bottom,silver
Ziggs,middle,silver
Yasuo,middle,silver
Anivia,middle,silver
Bard,utility,silver
Bard,utility,silver
Blitzcrank,utility,silver
XinZhao,jungle,silver
Bard,utility,silver
Trundle,top,silver
Veigar,middle,silver
Yasuo,middle,silver
Vayne,bottom,silver
Hecarim,jungle,silver
MasterYi,jungle,silver
Fizz,middle,silver
Vayne,bottom,silver
Nocturne,jungle,silver
MasterYi,jungle,silver
MasterYi,jungle,silver
Karthus,utility,silver
MasterYi,jungle,silver
MasterYi,jungle,silver
MasterYi,jungle,silver
MasterYi,jungle,silver
MasterYi,jungle,silver
MasterYi,jungle,silver
Nidalee,jungle,silver
Nidalee,jungle,silver
Nidalee,jungle,silver
Nidalee,jungle,silver
Nidalee,jungle,silver
LeeSin,jungle,silver
LeeSin,jungle,silver
LeeSin,jungle,silver
LeeSin,jungle,silver
Jayce,bottom,silver
Veigar,middle,silver
Yasuo,middle,silver
Yasuo,middle,silver
Yasuo,middle,silver
Yasuo,middle,silver
DrMundo,jungle,silver
Jhin,bottom,silver
Blitzcrank,utility,silver
Yasuo,middle,silver
Yasuo,middle,silver
Irelia,middle,silver
Irelia,middle,silver
Xayah,bottom,silver
KogMaw,bottom,silver
Sivir,bottom,silver
Ezreal,bottom,silver
Jhin,bottom,silver
Ezreal,bottom,silver
Jhin,bottom,silver
Caitlyn,bottom,silver
Caitlyn,bottom,silver
Ziggs,bottom,silver
Caitlyn,bottom,silver
Ashe,bottom,silver
Caitlyn,bottom,silver
Ziggs,bottom,silver
Ziggs,bottom,silver
Ziggs,middle,silver
Ziggs,middle,silver
Ziggs,middle,silver
Ziggs,middle,silver
Ziggs,bottom,silver
Ziggs,middle,silver
Ziggs,middle,silver
Alistar,utility,silver
Zoe,middle,silver
Vayne,bottom,silver
MissFortune,bottom,silver
MissFortune,bottom,silver
Lucian,bottom,silver
Jinx,bottom,silver
Vayne,bottom,silver
Morgana,jungle,silver
Morgana,jungle,silver
Morgana,jungle,silver
Diana,jungle,silver
JarvanIV,jungle,silver
Teemo,jungle,silver
Swain,middle,silver
AurelionSol,middle,silver
AurelionSol,middle,silver
Brand,middle,silver
Veigar,middle,silver
XinZhao,middle,silver
XinZhao,middle,silver
XinZhao,middle,silver
XinZhao,middle,silver
XinZhao,middle,silver
XinZhao,middle,silver
Sona,utility,silver
Sona,utility,silver
Lux,utility,silver
